Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-05-14T14:35:00.000Z,4694.6000976562,4697.2001953125,4692.1000976562,4696.1000976562,1096,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T14:40:00.000Z,4695.7001953125,4698.7998046875,4692.3999023438,4693.2998046875,1156,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T14:45:00.000Z,4693.1000976562,4695.2998046875,4690.8999023438,4693.5,1218,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T14:50:00.000Z,4693.5,4696.7998046875,4688.8999023438,4691.3999023438,1450,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T14:55:00.000Z,4691.5,4694.7001953125,4685.3999023438,4685.5,1383,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T15:00:00.000Z,4685.7998046875,4688.8999023438,4682.7998046875,4684.5,1933,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T15:05:00.000Z,4684.1000976562,4689.8999023438,4684.1000976562,4689.6000976562,1064,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T15:10:00.000Z,4689.8999023438,4692.7001953125,4688.1000976562,4690.7998046875,939,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T15:15:00.000Z,4690.6000976562,4695.0,4690.2998046875,4693.6000976562,833,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T15:20:00.000Z,4693.7001953125,4693.7998046875,4690.2001953125,4691.8999023438,674,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T15:25:00.000Z,4692.1000976562,4695.6000976562,4691.3999023438,4691.8999023438,899,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T15:30:00.000Z,4692.2001953125,4695.0,4690.7001953125,4695.0,725,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T15:35:00.000Z,4694.8999023438,4695.2998046875,4691.2001953125,4692.7998046875,637,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T15:40:00.000Z,4692.7998046875,4693.6000976562,4686.8999023438,4688.6000976562,1211,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T15:45:00.000Z,4688.5,4689.7998046875,4686.7998046875,4689.5,725,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T15:50:00.000Z,4689.7001953125,4691.3999023438,4687.2001953125,4690.6000976562,632,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T15:55:00.000Z,4690.7998046875,4692.8999023438,4689.7001953125,4691.8999023438,545,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T16:00:00.000Z,4692.1000976562,4693.3999023438,4684.2998046875,4685.2001953125,1207,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T16:05:00.000Z,4684.7998046875,4685.7001953125,4680.6000976562,4683.5,1693,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T16:10:00.000Z,4683.5,4685.6000976562,4680.2001953125,4684.8999023438,1029,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T16:15:00.000Z,4684.6000976562,4687.6000976562,4684.6000976562,4686.1000976562,573,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T16:20:00.000Z,4686.2001953125,4686.8999023438,4683.2001953125,4683.7001953125,551,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T16:25:00.000Z,4683.8999023438,4684.0,4681.3999023438,4683.2001953125,647,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T16:30:00.000Z,4683.5,4684.6000976562,4679.7001953125,4680.5,993,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T16:35:00.000Z,4680.2001953125,4681.1000976562,4676.2001953125,4679.0,1546,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T16:40:00.000Z,4679.0,4682.2001953125,4678.5,4681.5,627,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T16:45:00.000Z,4681.3999023438,4682.8999023438,4678.6000976562,4682.2001953125,878,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T16:50:00.000Z,4682.2998046875,4684.7998046875,4681.1000976562,4683.3999023438,554,0.0,0.0,MGC=F,NA,NA,USD
2026-05-14T16:55:00.000Z,4683.2998046875,4685.2001953125,4681.2998046875,4684.6000976562,588,0.0,0.0,MGC=F,NA,NA,USD
